t;Taylor;RKN
59,1;2,49203268155861;1,26556707007503
59,2;2,8690915725426;1,5677812900192
59,3;3,2048973255067;1,84058722368023
59,4;3,49447917131282;2,07958995215415
59,5;3,73327200584176;2,28070445171805
59,6;3,91719363811731;2,44022859248444
59,7;4,04271871716985;2,55491316304271
59,8;4,10694786840651;2,62202749230627
59,9;4,10767059830701;2,63941927861521
60,0;4,04342058552929;2,60556730532516
60,1;3,91352206646773;2,51962582070395
60,2;3,71812614275628;2,381459486363
60,3;3,45823598527828;2,19166795044383
60,4;3,1357200814303;1,95159927655324
60,5;2,75331286660142;1,66335165365672
60,6;2,31460229345899;1,32976302200266
60,7;1,8240041196173;0,954388471487155
60,8;1,28672293117816;0,54146549721543
60,9;0,708700161773906;0,0958674277118321
61,0;0,096549609238484;-0,376954430478668
61,1;-0,542518810060569;-0,871039166916905
61,2;-1,20078610078589;-1,37999418589617
61,3;-1,87012083949706;-1,89708150221201
61,4;-2,54208405885953;-2,41531107392568
61,5;-3,20804081482461;-2,92753968323824
61,6;-3,85927674069663;-3,42657375515863
61,7;-4,48711777621182;-3,90527441220663
61,8;-5,08305117651396;-4,35666300401765
61,9;-5,63884585720857;-4,77402532483177
62,0;-6,14667011879733;-5,1510127401826
62,1;-6,59920481729974;-5,48173848667177
62,2;-6,98975010758029;-5,76086748483077
62,3;-7,3123239808962;-5,98369811334207
62,4;-7,56175094681954;-6,14623453125473
62,5;-7,73373936963051;-6,24524830059746
62,6;-7,8249461575455;-6,27832825170156
62,7;-7,83302771616681;-6,2439177438348
62,8;-7,75667631124517;-6,14133870022583
62,9;-7,59564123572649;-5,97080203470482
63,0;-7,35073443727617;-5,73340433223779
63,1;-7,02382052996918;-5,43111089269028
63,2;-6,61779138240801;-5,06672549128568
63,3;-6,13652573897334;-4,64384744556433
63,4;-5,58483458610252;-4,16681680250959
63,5;-4,9683932165083;-3,64064866647328
63,6;-4,29366116647219;-3,07095787455282
63,7;-3,56779140055017;-2,4638753875486
63,8;-2,79853029047026;-1,82595789848899
63,9;-1,99411007750274;-1,16409226446802
64,0;-1,16313561758746;-0,48539643935457
64,1;-0,314467284128845;0,202881376366183
64,2;0,542898056549768;0,893463647235594
64,3;1,39994607800021;1,5791427827868
64,4;2,24776214717687;2,25287715330309
64,5;3,07764477740578;2,90788230028003
64,6;3,88121365864301;3,53771592051078
64,7;4,65051067253389;4,13635534847304
64,8;5,37809245697684;4,69826642986764
64,9;6,05711326608651;5,21846286596664
65,0;6,68139707265044;5,69255530973755
65,1;7,24549807702618;6,11678970612169
65,2;7,74474901430396;6,48807458579408
65,3;8,17529688566413;6,80399723958751
65,4;8,53412597532541;7,06282891492978
65,5;8,81906824648546;7,26351938166052
65,6;9,02880143351688;7,40568140823528
65,7;9,16283535896377;7,48956586668665
